,sentence,label,title
764,"Все это может сдвинуть строки строительства, за которые переживают в правительстве.",0,Все это может сдвинуть строки строительства.
765,"По информации ""Фонтанки"", в Минстрое активно обсуждается внесение на осенней сессии новых поправок, которые могли бы сгладить резкое изменение ситуации для строительного бизнеса.",0,В Минстрое активно обсуждается внесение новых поправок
766,"Именно им в августе 2010 года была передана земля по ул. Тюльпановая, 10 в Ставрополе площадью 8500 кв. м для строительства многоквартирного дома в качестве возмещения ущерба.",0,"Именно им была передана земля по ул. Тюльпановая, 10 в Став"
767,"– Объект, как требует глава города, – сказала  Марина Пащенко, – доложен быть сдан к началу сентября.",0,Квартира доложена к началу сентября
768,"Компания строила четыре ЖК в Ленинградской области: «Шотландия» (Скотное), «Итальянский квартал» (Романовка), «Щегловская усадьба» (Щеглово) и «Созвездие» (Мурино).",0,«Шотландия» построила четыре ЖК в Ленинградской области
769,"С одной стороны, это плюс: меньше обманутых дольщиков.",0,"С одной стороны, это плюс: меньше обманутых дольщиков"
770,"Дом будет введен в июле-августе текущего года, соответственно, квартиры будут переданы еще 511 гражданам, останется 1,029 тыс. человек.",0,Квартиры будут введены в июле-августе текущего года
771,"Вывод в эксплуатацию первых блоков новых станций в Крыму на полную мощность начнется после утверждения схемы выдачи мощности, заявил на днях замминистра энергетики РФ Андрей Черезов.",0,Строительство первых блоков новых станций в Крыму начнется после утвер
772,"Ранее застройщика ЖК ""Суворовский"" заподозрили в сливе нечистот в реку Темерник.",0,"Застройщика ЖК ""Суворовский"" заподозрили в сливе нечистот"
773,"Что касается позиции власти, мы всегда создавали условия, при которых строительный рынок развивался бы.",0,"Мы всегда создавали условия, при которых строительный рынок развивался бы."
774,"В Красносельском районе завершение работ в ЖК ""Ленинский парк"" просрочили ООО ""Спутник"" (Ленинский пр., участок 7) и ""Высота"" (Ленинский пр., участок 5), в ЖК ""Прибалтийский"" – компании ""Азимут"" (Ленинский пр., участок 8) и ""Орбита"" (Ленинский пр., участок 9).",0,"В Красносельском районе завершение работ в ЖК ""Ленинский парк"" про"
775,"У нас действительно произошел сбой, мы виноваты перед людьми, – говорит генеральный директор группы компаний «Новый город» Александр Мамушкин.",0,"У нас действительно произошел сбой, мы виноваты перед людьми."
776,11 июня стало известно о срыве сроков выпуска выпуска второй легкой и третьей тяжелой ракет семейства «Ангара»: об этом сообщало РИА Новости.,0,Срыв сроков выпуска второй тяжелой ракеты «Ангара»
777,"По закону, поправки в который вступили в силу 1 июля 2018 года, Росреестр должен прекратить регистрировать новые договоры долевого участия по просроченным объектам.",0,Росреестр должен прекратить регистрировать новые договоры долевого участия по про
778,На Кубани в сентябре введут в эксплуатацию долгострой с 16-летней историей.,0,На Кубани введут в эксплуатацию долгострой с 16-летней историей
779,"Следует отметить, что компания «Брусника», ранее известная под наименованием «Партнер-Инвест», — крупный застройщик, который зарекомендовал себя на Урале и в Сибири.",0,«Брусника» — крупный застройщик на Урале и в
780,"Минстрой обещает поэтапное консультирование и работу с дольщиками, но продать или достроить дом - должны решать они сами.",0,Минстрой обещает поэтапное консультирование и работу с дольщиками
781,"Значит, ООО «Стройград» не смогло подтвердить безопасность своей новостройки, решил суд и оштрафовал застройщика.",0,ООО «Стройград» не смогло подтвердить безопасность своей новостройки
782,«Вега» ни разу не допускала просрочки ввода ни одного объекта с долевым строительством.,0,«Вега» не допускала просрочки ввода объектов с долевым строительством
783,"– Как получилось, что среди трех новых застройщиков этих домов только один – липецкий, а двое – иногородние?",0,"В Липецке только один – липецкий, а двое – иногородние"
784,"Несмотря на такие сложности, у нас есть видение, как мы сможем заменить застройщика на этом объекте и уже в этом году выйти на площадку.",0,"У нас есть видение, как мы сможем заменить застройщика на этом объект"
785,"«Ранее компания ВИС заявляла, что сдаст объект в декабре 2019 года.",0,"ВИС объявила, что сдаст объект в декабре 2019 года"
786,До обозначенного срока сдачи дома остается меньше двух месяцев.,0,До срока сдачи дома остается меньше двух месяцев.
787,"В компании объясняют это наличием неких «технических причин», сообщает Эксперт.",0,"В компании объясняют это наличием неких «технических причин», сообщает Эксперт."
788,"""Русгидро"" строит Зарамагскую ГЭС-1 мощностью 346 МВ в Северной Осетии по программе договоров о предоставлении мощности, которая предполагает повышенные платежи с рынка, но за несвоевременный ввод начисляются штрафы.",0,"""Русгидро"" строит Зарамагскую ГЭС-1 мощностью 346"
789,"На официальном сайте ЖК «Первый квартал» на продажу выставлены:
72 квартиры (почти 13%) из первой очереди;
198 (чуть больше 46%) из второй.",0,На официальном сайте ЖК «Первый квартал» выставлены 72 квартиры
790,Инициативной группе дольщиков это сегодня пообещал лично зам.губернатора Сергей Морозов.,0,Инициативную группу дольщиков сегодня пообещал замгубернатора Сергей
791,Инициативной группе дольщиков это сегодня пообещал лично зам.губернатора Сергей Морозов.,0,Инициативную группу дольщиков сегодня пообещал замгубернатора Сергей
792,"Это «Эксстроймаш», входящий в группу компаний «СУ-5» Михаила Захарова, Липецкая инвестиционная строительная компания (ЛИСК), которую возглавляет Олег Бойцов, и Липецкая ипотечная корпорация (ЛИК).",0,«Эксстроймаш» входит в группу компаний «СУ-5» Михаила
793,"Это неправильно, плохо, вот сами родителям и объясните, почему сложилась такая ситуация», — сказал Алексей Текслер.",0,"Это неправильно, плохо, вот сами объясните, почему сложилась"
794,"Костромичи намерены поехать на всероссийский форум обманутых дольщиков, направить коллективные обращения президенту Владимиру Путину, вице-премьеру Виталию Мутко и заместителю директора регионального департамента строительства Николаю Ухову.",0,Костромичи намерены поехать на всероссийский форум обманутых доль
795,"В Усть-Катаве сорвали подготовку местной школы к новому учебному году

Замечание главе города Сергею Семкову руководитель региона сделал во время рабочей поездки.",0,В Усть-Катаве сорвали подготовку школы к новому году
796,"Александр Сребрянский, которого полиция задержала по подозрению в афере с деньгами дольщиков, покинул свой пост.",0,Александр Сребрянский покинул свой пост
797,Также велось строительство двух благоустроенных жилых домов на 60 и 80 квартир (из 4-х планируемых) для персонала завода.,0,Строительство двух благоустроенных жилых домов на 60 и 80 квартир для персонала
798,"Прежде чем зайти на такой объект, любой строитель смотрит, что необходимо сделать в соответствии с проектной документацией.",0,"Кто смотрит, что необходимо сделать в соответствии с проектной документацией?"
799,"Девелоперы должны перейти на проектное финансирование строительства жилья, продажи станут возможны только через эскроу-счета.",0,Девелоперы должны перейти на проектное финансирование строительства жилья
800,"Все коммерческие риски, которые берет на себя застройщик, – это его риски.",0,"Все коммерческие риски, которые берет на себя застройщик, –"
801,На территории городского округа Электрогорск реализуется адресная программа Московской области «Переселение граждан из аварийного жилищного фонда в Московской области на 2016-2019 годы».,0,В Электрогорске реализуется адресная программа «Переселение граждан из аварийного жилищ
802,Это дом на 589 квартир в ЖК «Прибалтийский».,0,Это дом на 589 квартир в ЖК «Прибалтийский».
803,"- Самое главное, чтобы застройщик мог соблюсти срок передачи ключей, указанный в ДДУ.",0,"Застройщик мог соблюсти срок передачи ключей, указанный в Д"
804,Последнее публичное обещание бизнесмена – закончить работы в ноябре этого года.,0,Последнее публичное обещание бизнесмена – закончить работы в ноябре это
805,А значит эта сумма должна покрыть потребность застройщика в деньгах дольщиков на первых двух очередях.,0,А значит эта сумма должна покрыть потребность дольщиков на первых двух
806,"Получение разрешения на ввод в эксплуатацию ЖК ""Трилогия"" на проспекте Народного Ополчения, 149, ждет компания ""ОптимаГрупп"".",0,"Ввод в эксплуатацию ЖК ""Трилогия"" на проспекте Народного О"
807,"Отметим, что «ВИС Инфраструктура» не смогли обозначить сроки, когда югорчанки смогут рожать в новом перинатальном центре.",0,"«ВИС Инфраструктура» не смогли обозначить сроки, когда юг"
808,"«Объекты пускового минимума технически готовы, все общестроительные работы завершены, инженерные системы полностью смонтированы, но, как и прежде, продолжают выходить изменения в проектно-сметную документацию.",0,«Объекты пускового минимума технически готовы»
809,Однако задержки сроков сдачи не было.,0,Однако задержки сроков сдачи не было.
810,"Как стало известно Znak.com, в этом году перинатальный центр в Сургуте сдан не будет.",0,В Сургуте будет сдан перинатальный центр
811,"– У АО «ЛИК» один дом в микрорайоне «Елецкий», это 70 человек.",0,У АО «ЛИК» один дом в микрорайоне «Елецкий».
812,"Как рассказал Андрей Низовский 15 августа 47news, на его взгляд, дома явно четырёхэтажные, а это уже подведомственность правительства, то есть Госстройнадзора.",0,"Низовский: дома явно четырёхэтажные, а это уже под"
813,"Как рассказал Андрей Низовский 15 августа 47news, на его взгляд, дома явно четырёхэтажные, а это уже подведомственность правительства, то есть Госстройнадзора.",0,"Низовский: дома явно четырёхэтажные, а это уже под"
814,Обстоятельства: Решение: Истец ссылается на неисполнение ответчиком обязательств по договору о долевом участии в строительстве квартиры.,0,Ответчик ссылается на неисполнение ответчиком обязательств по договору о долевом
815,"Строительство ЖК ""Феникс"" в Краснодаре началось еще в 2003 году.",0,"Строительство ЖК ""Феникс"" в Краснодаре началось в 2003 году"
816,"И если данному застройщику прекращают регистрацию всех долевок, их дальнейшую продажу, то это, в принципе, приведет застройщика к банкротству и к новым обманутым дольщикам"".",0,"И если застройщику прекращают регистрацию всех долевок,"
817,В следующем квартале ситуация кардинально изменилась – дата (октябрь 2016 г.) как раз совпадает с моментом заключения первых ипотечных договоров.,0,В следующем квартале ситуация кардинально изменилась
818,К июню 2015 года было остановлено строительство практически по всем объектам.,0,К июню 2015 года было остановлено строительство практически по всем объект
819,"С ее слов, у истца есть все шансы выиграть суд, если ему удастся подтвердить нарушение сроков сдачи объекта.",0,У истца есть все шансы выиграть суд
820,Понять это нам поможет анализ бухгалтерской отчетности ООО «Брусника.,0,Понять это нам поможет анализ бухгалтерской отчетности ООО «Брусника».
821,Застройщик ссылался на отсутствие необходимого финансирования.,0,Застройщик ссылался на отсутствие необходимого финансирования.
822,"Ожидается, насколько я знаю, несколько сделок, результат которых позволит достроить проблемные объекты.",0,"Ожидается, насколько я знаю, несколько сделок, результат которых"
823,"Саму Алену, по ее словам, из предложений МИЦа больше всего заинтересовал ЖК «Барбарис» на северо-востоке Москвы, в районе Бибирево.",0,Саму Алену заинтересовал ЖК «Барбарис» на северо-востоке Москв
824,"Напомним, строительство Окружного центра охраны материнства и детства в Сургуте началось в 2014 году.",0,В Сургуте началось строительство Окружного центра охраны материнства и дет
825,Изначально первую очередь должны были сдать в конце 2016 года.,0,Изначально первую очередь должны были сдать в конце 2016 года.
826,В сентябре суд отказался утвердить мировое соглашение между застройщиком и комитетом имущественных отношений.,0,Суд отказался утвердить мировое соглашение между застройщиком и комитетом
827,"Цены на недвижимость в Москве одни из самых высоких в мире и это при том, что квартиры продаются голые, без отделки, в которые нужно вкладывать потом круглые суммы.",0,Цены на недвижимость в Москве одни из самых высоких в мире
828,В областном правительстве приняли экстренное решение: выкупать у застройщика объекты инфраструктуры.,0,В Петербурге выкупили объекты инфраструктуры
829,В областном правительстве приняли экстренное решение: выкупать у застройщика объекты инфраструктуры.,0,В Петербурге выкупили объекты инфраструктуры
830,Первые энергоблоки успешно запущены и в режиме пусконаладки уже два месяца практически непрерывно поставляют в сеть энергию в объеме почти 500 МВт.,0,Первые энергоблоки успешно запущены и в режиме пускона
831,Несколько корпусов I-III очередей строительства на 1300 квартир уже введены в эксплуатацию.,0,Несколько корпусов I-III очередей строительства на 1300 квартир уже введен
832,"При этом застройщик, компания «ВИС Инфраструктура», в своем официальном ответе на вопросы СИА-ПРЕСС полностью отрицает информацию о подорожании проекта.",0,«ВИС Инфраструктура» отрицает информацию о подорожании проекта
833,Сейчас в микрорайоне (на территории Орловского района) компания строит три дома.,0,В Орловском районе строят три дома
834,Первого сентября на территории ЖК «Прибалтийский» и ЖК «Ленинский парк» откроют детский сад на 200 мест.,0,На территории ЖК «Прибалтийский» откроют детский сад на 200
835,"Ранее планировалось, что здание снесут, а на его место построят новое, однако затем власти пересмотрели свое решение.",0,"Власти снесут здание, а на его место построят новое."
836,"Оперативно прокомментировать ситуацию и прояснить, действительно ли увеличилось финансирование объекта, в департамента здравоохранения Югры не смогли.",0,"В Югры не смогли прокомментировать ситуацию и прояснить, действительно"
837,Местные власти обозначили сроки сдачи объекта как сентябрь-октябрь.,0,Местные власти обозначили сроки сдачи объекта как сентябрь-октябрь
838,"При этом, если человек считает, что ему незаконно отказали во включении в реестр обманутых дольщиков, он вправе обжаловать такое решение через суд или обратиться в прокуратуру.",0,"Если человек считает, что ему незаконно отказали во включении в"
839,"Говоря о фактах продажи коммерческой недвижимости по ценам ниже тех, которые установлены на рынке, Иван Белозерцев подчеркнул, что все решения должны приниматься ЖСК, правительством и муниципалитетом совместно.",0,"Белозерцев подчеркнул, что все решения должны приниматься ЖСК,"
840,"– Да, это дом, в котором строительство было приостановлено в 2015 году, – на улице 50 лет НЛМК.",0,"Это дом, в котором строительство было приостановлено в 2015 году?"
841,В доме зарегистрировано 80 участников долевого строительства.,0,В доме зарегистрировано 80 участников долевого строительства.
842,"В пресс-службе ""Дальпитерстроя"" подтвердили приостановку регистрации ДДУ, объяснив это как задержкой строительства, так и отсутствием спецсчетов.",0,В Дальпитерстроя подтвердили приостановку регистрации ДДУ
843,В свою очередь застройщики часто пускают деньги дольщиков в оборот и не торопятся достраивать «за свои».,0,Застройщики часто пускают деньги дольщиков в оборот
844,"Попала под запрет на привлечение средств новых дольщиков скандально известная компания ""Питер-Констракшн"", которая строит на Большеохтинском проспекте, 15, корпуса 1 и 2.",0,"""Питер-Констракшн"" попала под запрет на привлечение средств новых"
845,На официальном сайте застройщика ежемесячно размещают свежие фотоотчеты с детальным описанием хода строительства.,0,На официальном сайте застройщика ежемесячно размещают свежие фотоот
846,Дополнительное соглашение не влечет за собой новых финансовых обязательств со стороны округа.,0,Дополнительное соглашение не влечет за собой новых финансовых обязательств со
847,"Ранее представители ""Квартстроя"" заявляли, что стройка завершится во втором квартале 2017 года.",0,"""Квартстрой"" завершится во втором квартале 2017 года"
848,"В обращении, размещенном на сайте генпрокуратуры в УФО, сообщается о проблемном доме по улице Куйбышева и объектах «СМУ КПД».",0,В УФО сообщается о проблемном доме по улице Куйбышева
849,"Агентство отмечает, что в жалобе оператора проекта Nord Stream 2 AG в адрес датских властей указана стоимость третьего маршрута, затраты на который оцениваются в 560 млн евро, а расходы на получение нового запроса на данный маршрут – 100 млн евро.",0,В жалобе оператора Nord Stream 2 AG в адрес датских властей указана с
850,"Дольщики разных компаний возмущенно делились, что за много лет прошли все инстанции: писали жалобы в Генпрокуратуру, Следственный комитет, ФСБ.",0,"Дольщики разных компаний возмущенно делились, что за много лет про"
851,"Желающие достроить этот дом есть, сейчас считается экономика строительства, но даже это вторично.",0,"Сейчас считается экономика строительства, но даже это вторично."
852,"Руководитель предприятия поручил решить данную проблему с целью недопущения срывов сроков сдачи объекта, вплоть до расторжения контракта с подрядной организацией.",0,Руководитель предприятия поручил решить проблему с срывом сроков сдачи объект
853,"Заместитель губернатора Нижегородской области, заместитель Председателя Правительства Нижегородской области Сергей Морозов: ""Все решения политические уже приняты, все поручения по исполнению данных процедур также даны, сегодня идут все процедуры подготовки к сделке, поэтому, можете не сомневаться.",0,В Нижегородской области идут все процедуры подготовки к сделке
854,"Это самый крупный объект среди дошкольных учреждений, которые будут возведены в этом году.",0,Это самый крупный объект среди дошкольных учреждений.
855,"Комитет по промышленности совместно с комитетом по охране памятников разработал поправки к данному закону, которые увеличивают максимальную высотность зданий на этой территории до необходимых инвесторам 18-ти метров.",0,Комитет по промышленности совместно с комитетом по охране памятников разработал поправ
856,"Они считают, что здание нужно снести (хотя бы частично), а их самих — расселить, пока никто не пострадал.",0,"Они считают, что здание нужно снести (хотя бы частично),"
857,"Возведением дома № 6 на Краснопольском проспекте в ЖК «Радуга» занимается ООО «Капитал Дом», который входит в группу компаний «Серебряный ключ».",0,«Капитал Дом» входит в группу компаний «Серебряный ключ».
858,Что получат новые застройщики в качестве компенсации?,0,Что получат новые застройщики в качестве компенсации?
859,"К сожалению, на сайте Росреестра разделения сделок по корпусам нет, поэтому выходит, что в двух домах продано всего 32,86% квартир (325 из 989 шт.).",0,"В двух домах продано всего 32,86% квартир"
860,"Программу развития перинатальных центров начали выполнять с опозданием, замечают в Счетной палате.",0,В Счетной палате начали выполнять программу развития перинатальных центров
861,"Возможно, это связано с переносом сроков по двум домам, который был два года назад.",0,"Возможно, это связано с переносом сроков по двум домам."
862,Ранее пензенская мэрия уже сообщала о сложной ситуации со строительством трех домов для детей-сирот.,0,В Пензенской области уже сообщили о сложной ситуации со строительством трех
863,"Первая, на пять домов, должна была появиться в I-II квартале 2017 года, а вторая, на четыре дома, — в I квартале 2018 года.",0,"Первая, на пять домов, должна была появиться в I квартале 2018"
864,"Москва
1 ОБЪЕКТ
Должность Гендиректора застройщика изначально занимал Щиголь А. С., а с октября 2016 г. — Квитковская В. П. В марте 2017 г. на смену пришел Колтунов Д. А. Генеральным подрядчиком значится опытная фирма ООО «Брусника.",0,С октября 2016 г. на смену пришел Колтунов Д. А.
865,"Когда строители вернутся на объект, и за чей счет, - выяснила корреспондент программы ""Вести-Приворлжье"" Мария Захаревич.",0,Когда строители вернутся на объект?
866,​СМИ: новый перинатальный центр в Сургуте подорожал до 18 млрд рублей.,0,СМИ: новый перинатальный центр в Сургуте подорожал до 18 мл
867,Отсутствие горячей воды не связано с ремонтом тепломагистрали на Рылеева Срок перекрытия автодороги в районе «кольца» на улице Рылеева продлили.,0,Отсутствие горячей воды не связано с ремонтом тепломагистрали на Ры
868,Ведь главная возможная причина нарушения сроков — нехватка денежных средств для своевременного выполнения строительных работ.,0,Нехватка денежных средств для своевременного выполнения строительных работ
869,"Директор лицея Григорий Моисеенков отметил, что причина в работе заказчика – МКУ «Строитель».",0,Моисеенков: причина в работе заказчика – МКУ «Строитель».
870,"Лучше выясним, что спровоцировало такие задержки при реализации объектов — изменения в проектах или нехватка средств.",0,"Лучше выясним, что спровоцировало задержки при реализации объектов"
871,В ближайшее время власти Ленинградской области вынуждены будут вспомнить все свои познания в арифметике.,0,Власти Ленинградской области будут вспомнить все свои познания в ариф
872,Первая очередь проекта введена в эксплуатацию без задержки.,0,Первая очередь проекта введена в эксплуатацию без задержки.
873,Люди жалуются на большие очереди и плохие условия в стационаре – палаты требуют срочного ремонта.,0,Люди жалуются на большие очереди и плохие условия в стационар
874,"Чтобы построить быстро, часть средств застройщик привлекает у дольщиков, а другую часть берет в кредит.",0,"Чтобы построить быстро, застройщик привлекает дольщиков, а другую"
875,Изначально задержки были связаны с перебоями бюджетного финансирования и необходимостью корректировки проекта.,0,Изначально задержки были связаны с перебоями бюджетного финансирования и
876,"На тот момент в первой очереди ЖК ""На Заречной"" оставалось завершить монтаж внутренних электроустановок и дверных блоков.",0,"ЖК ""На Заречной"" завершил монтаж внутренних электроустановок"
877,В пресс-службе администрации Пензы не успели ответить на запрос „Ъ“.,0,В Пензе не успели ответить на запрос «Ъ».
878,"Темпы строительства, которые несколько замедлились в зимний период, с наступлением тепла снова показывают отличную динамику.",0,Темпы строительства с наступлением тепла снова показывают отличную динамику
879,"Подробнее: https://pharmvestnik.ru/content/news/gerofarm-perenosit-srok-zapuska-zavoda-v-promzone-pushkinskaja.html"" data-plugin=""addtocopy"" data-minlen=""50"" 
Ранее инвесторы планировали завершить реализацию проектов в 2014 году.",0,Инвесторы планировали завершить реализацию проектов в 2014 году.
880,"Как сообщает Znak.com, создание Окружного центра охраны материнства и детства будет стоить окружному бюджету 18 млрд рублей, при том что ранее стоимость объекта составляла 10,9 млрд рублей.",0,Окружный центр охраны материнства и детства будет стоить 18 млрд
881,"Один из домов уже готов, осталось завершить работы на двух этажах по монтажу сетей отопления, водо- и электроснабжения.",0,"Один из домов уже готов, осталось завершить работы на двух этажах"
882,Со второго квартала 2016 года срок сдачи был перенесен на 4-й квартал 2018 года.,0,Со второго квартала 2016 года срок сдачи был перенесен на 4-й квартал 2018
883,Но на сегодня часть объектов планируем сдать с опережением.,0,На сегодня часть объектов планируем сдать с опережением.
884,СМИ: Задержка ввода «Северного потока – 2» обойдется в 660 млн евро.,0,СМИ: Задержка ввода «Северного потока – 2» обойдется
885,В основном участники рынка поправки в закон о долевом строительстве оценивают негативно.,0,В основном участники рынка оценивают поправки в закон о долевом
886,"Здесь есть несколько объективных факторов"", - сказал представитель ""Технопромэкспорта"".",0,"Здесь есть несколько объективных факторов"" - представитель ""Техно"
887,Дом будет введён в эксплуатацию без задержек,0,Дом будет введен в эксплуатацию без задержек.
888,"При открытии банком кредитной линии, деньги на счет застройщика обычно поступают частями (поэтапно), в соответствии с определённым кредитным договором графиком.",0,Когда деньги поступают на счет застройщика?
889,"""ВКБ-Новостройки"" объединяет нескольких застройщиков на Юге России.",0,"""ВКБ-Новостройки"" объединяет нескольких застройщиков на Юге России"
890,"Срок сдачи объекта - 15 ноября 2020 года, пишет TLT.ru.",0,Срок сдачи объекта - 15 ноября 2020 года
891,Однако позже законодательство изменилось: в промзоне «Пушкинская» высота зданий была ограничена десятью метрами.,0,В «Пушкинской» высота зданий была ограничена десятью метрами.
892,"Уже введены в эксплуатацию девять объектов, из них два – в августе и ноябре 2018 года.",0,Девять объектов введены в эксплуатацию в августе и ноябре 2018
893,"Новую компанию учредили те же Олег Скворцов и Александр Жуков, которые владеют ООО «Стройград».",0,Олег Скворцов и Александр Жуков учредили новую компанию «Строй
894,"По словам представителя застройщика Анны Боченковой, счета компания уже открыла.",0,"По словам представителя застройщика Анны Боченковой, счета компании уже"
895,Эта компания получила всероссийскую известность благодаря масштабности обмана дольщиков: одну квартиру умудрились перепродать 17 разным людям.,0,Эта компания получила всероссийскую известность благодаря масштабности обмана дольщиков
896,Для получения средств для достройки этих домов СУ-5 продает несколько земельных участков.,0,Для получения средств для достройки этих домов СУ-5 продает несколько зем
